"","edges","density","transitive","ttriple"
"78",171,0.0132743362831859,38,38
"79",173,0.0131960335621663,39,39
"80",187,0.0135448355787338,46,46
"81",188,0.0133884062099416,46,46
"82",189,0.013235294117647,46,46
"83",190,0.0130853994490358,46,46
"84",193,0.0130741091992955,47,47
"85",196,0.0130614420898307,49,49
"86",197,0.0129163388408077,49,49
"87",198,0.012774193548387,49,49
"88",201,0.0127619047619048,50,50
"89",202,0.0126234220722409,50,50
"90",208,0.012028683784409,50,50
"91",210,0.0119617224880383,51,51
"92",210,0.0119617224880383,51,51
"93",210,0.0119617224880383,51,51
"94",210,0.0119617224880383,51,51
"95",210,0.0119617224880383,51,51
"96",212,0.0118954101672091,51,51
"97",212,0.0118954101672091,51,51
"98",212,0.0118954101672091,51,51
"99",212,0.0118954101672091,51,51
"100",212,0.0118954101672091,51,51
"101",213,0.0117744610281924,51,51
"102",213,0.0117744610281924,51,51
"103",213,0.0117744610281924,51,51
"104",215,0.0118850193477059,53,53
"105",215,0.0118850193477059,53,53
"106",215,0.0118850193477059,53,53
"107",215,0.0118850193477059,53,53
"108",216,0.011764705882353,53,53
"109",216,0.011764705882353,53,53
"110",216,0.011764705882353,53,53
"111",217,0.0116466294547016,53,53
"112",217,0.0116466294547016,53,53
"113",218,0.0115307309848725,53,53
"114",218,0.0115307309848725,53,53
"115",218,0.0115307309848725,53,53
"116",220,0.0114690856010844,54,54
"117",220,0.0114690856010844,54,54
"118",220,0.0114690856010844,54,54
"119",223,0.0116254822229173,59,59
"120",223,0.0116254822229173,59,59
"121",224,0.0115107913669064,59,59
"122",224,0.0115107913669064,59,59
"123",224,0.0115107913669064,59,59
"124",224,0.0115107913669064,59,59
"125",224,0.0115107913669064,59,59
"126",225,0.0113981762917934,59,59
"127",225,0.0113981762917934,59,59
"128",225,0.0113981762917934,59,59
"129",225,0.0113981762917934,59,59
"130",225,0.0113981762917934,59,59
"131",228,0.011228208411307,59,59
"132",229,0.0111208236208236,59,59
"133",229,0.0111208236208236,59,59
"134",230,0.011015325670498,59,59
"135",232,0.0109589041095891,60,60
"136",232,0.0109589041095891,60,60
"137",233,0.0107096892811179,60,60
"138",235,0.0106566297841465,61,61
"139",235,0.0106566297841465,61,61
"140",236,0.0105592841163311,61,61
"141",237,0.0104635761589405,61,61
"142",237,0.0104635761589405,61,61
"143",237,0.0104635761589405,61,61
"144",238,0.010233918128655,61,61
"145",238,0.010233918128655,61,61
"146",238,0.010233918128655,61,61
"147",238,0.010233918128655,61,61
"148",241,0.0100963552576455,62,62
"149",241,0.0100963552576455,62,62
"150",241,0.0100963552576455,62,62
"151",243,0.0100496277915633,62,62
"152",245,0.0100032663726931,62,62
"153",251,0.0101185197129727,65,65
"154",252,0.0100310484834011,65,65
"155",256,0.010062893081761,67,67
"156",257,0.00997670807453419,67,67
"157",258,0.00989187945709683,67,67
"158",261,0.00988411724608049,69,69
"159",264,0.00987580427951522,70,70
"160",265,0.0097930524759793,70,70
"161",265,0.0097930524759793,70,70
"162",265,0.0097930524759793,70,70
"163",265,0.0097930524759793,70,70
"164",265,0.0097930524759793,70,70
"165",265,0.0097930524759793,70,70
"166",265,0.0097930524759793,70,70
"167",265,0.0097930524759793,70,70
"168",265,0.0097930524759793,70,70
"169",265,0.0097930524759793,70,70
"170",265,0.0097930524759793,70,70
"171",266,0.00971157356699525,70,70
